latitude,longitude,date_start,date_end,best_est
38.639275,70.668581,06/07/1996 00:00:00,06/07/1996 00:00:00,27
38.889034,71.122508,08/10/1996 00:00:00,08/11/1996 00:00:00,2
38.723821,69.320197,03/08/1996 00:00:00,03/08/1996 00:00:00,4
38.73014,69.80235,03/30/1996 00:00:00,03/30/1996 00:00:00,2
38.889034,71.122508,01/30/1996 00:00:00,01/31/1996 00:00:00,2
38.867761,69.96642,03/13/1996 00:00:00,03/14/1996 00:00:00,28
38.56,68.773889,05/03/1998 00:00:00,05/03/1998 00:00:00,3
38.889034,71.122508,05/08/1996 00:00:00,05/10/1996 00:00:00,49
38.867761,69.96642,05/15/1996 00:00:00,05/16/1996 00:00:00,64
38.722478,70.648059,09/09/1996 00:00:00,09/11/1996 00:00:00,4
38.889034,71.122508,06/07/1996 00:00:00,06/07/1996 00:00:00,23
38.5085,70.78165,06/07/1996 00:00:00,06/07/1996 00:00:00,10
38.56,68.773889,05/02/1998 00:00:00,05/02/1998 00:00:00,2
37.833994,68.781858,06/11/1995 00:00:00,06/12/1995 00:00:00,1
39.02871,70.37446,07/14/1995 00:00:00,07/15/1995 00:00:00,1
39.02871,70.37446,07/11/1995 00:00:00,07/11/1995 00:00:00,2
38.66909,68.50698,07/05/1995 00:00:00,07/05/1995 00:00:00,4
38,73,04/13/1995 00:00:00,04/13/1995 00:00:00,36
38.56,68.773889,12/01/1992 00:00:00,12/31/1992 00:00:00,2821
38.598559,69.107454,12/04/1992 00:00:00,12/04/1992 00:00:00,24
38.56,68.773889,07/07/1995 00:00:00,07/07/1995 00:00:00,3
37.833994,68.781858,03/15/1995 00:00:00,03/15/1995 00:00:00,2
38.889034,71.122508,10/22/1995 00:00:00,10/22/1995 00:00:00,3
37.236341,69.09911,02/18/1994 00:00:00,02/18/1994 00:00:00,3
39.23491,70.35998,05/11/1995 00:00:00,05/11/1995 00:00:00,1
39.2,70.8,10/25/1995 00:00:00,10/26/1995 00:00:00,1
38,73,08/05/1993 00:00:00,08/07/1993 00:00:00,60
37.501505,68.453104,06/01/1993 00:00:00,12/31/1993 00:00:00,4
38.56,68.773889,04/12/1993 00:00:00,04/12/1993 00:00:00,12
38.598559,69.107454,06/25/1995 00:00:00,06/25/1995 00:00:00,3
38.5,69.416667,06/19/1994 00:00:00,06/19/1994 00:00:00,3
38.56,68.773889,06/22/1994 00:00:00,06/22/1994 00:00:00,2
38.889034,71.122508,07/24/1994 00:00:00,07/25/1994 00:00:00,10
37.833994,68.781858,06/09/1992 00:00:00,06/20/1992 00:00:00,4
37.833994,68.781858,08/01/1992 00:00:00,09/06/1992 00:00:00,300
38.598559,69.107454,12/18/1992 00:00:00,12/18/1992 00:00:00,2
38.56,68.773889,05/06/1992 00:00:00,05/06/1992 00:00:00,14
38.86213,71.10747,07/26/1994 00:00:00,07/26/1994 00:00:00,30
37.833994,68.781858,09/14/1994 00:00:00,09/14/1994 00:00:00,1
37.833994,68.781858,03/09/1994 00:00:00,03/09/1994 00:00:00,1
37.833994,68.781858,02/18/1994 00:00:00,02/18/1994 00:00:00,1
